Compound_ID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
Com_8429_pos,4132341.654,12507241.72,8545143.292,4725762.985,6423154.646,4163977.154,21155879.72,8282971.004,13532748.9,12949132.94,18452670.36,14624538.41,10355303.33,7030655.812,21476854.49,15808531.96,12435042.9,12337927.34,8706097.912,13984157.59,18728104.41,14544230.63,16449225.4,23376222.91,9932979.895,10565555.55,6336833.182,19261196.13,8699331.367,16416787.51,18124090.1,7900007.497
Com_8539_pos,10406352.81,32438856.07,6819056.198,8832735.684,13469477.94,9533088.036,8033904.002,8838358.004,6337400.245,5466433.877,13497544.67,10186924.54,9180430.495,11162227.38,544622.49,11471710.83,16591886.23,23455138.16,14863580.65,10348791.67,9442512.223,16949718.06,12026569.31,11456618.16,9268567.165,7970787.289,5403514.162,7971017.707,8063061.966,3750871.414,7755920.783,6971303.011
Com_8550_pos,15554192.73,1384263.821,1571087.552,465582.847,936096.7164,923672.3524,4246554.418,6920534.749,42977590.21,34449612.54,5634264.095,6680928.542,2858061.066,532859.8968,31638178.65,11406292.18,1537124.561,1997617.406,1246836.283,1484285.454,1984824.358,735583.0302,467361.0912,632195.6876,1190620.415,1205282.172,593700.207,1400205.572,426196.6602,1150941.727,712660.852,882823.2901
Com_8553_pos,3366688.743,2872045.013,12326606.34,2174289.771,2223499.089,4216924.182,19190405.64,2916004.569,2478134.133,5772597.412,3369832.578,2027430.378,5393321.633,1986803.37,1498157.161,3214400.509,3422439.444,3925754.379,6398961.505,4031212.444,7519661.939,7483238.622,1720875.697,3269729.179,3197177.435,112707278.1,3943355.818,3237962.825,50596441.02,49640988.24,4167704.953,1979921.962
Com_8555_pos,4011446.715,3732625.814,4214424.1,4361856.36,2778793.244,3327937.464,4477769.012,6498997.391,3168323.159,2166666.739,13960289.72,4566618.407,5388215.497,5349542.281,4006389.942,5609639.606,1974680.799,2759796.269,2371261.091,2259859.873,1994571,2486063.162,1604721.322,2154633.656,1302119.498,2977375.439,1026710.197,1473367.532,1462246.85,1262599.678,1392871.013,890719.1894
Com_8562_pos,13484708.34,3790579.391,5166961.615,26328868.41,4693274.862,7564011.325,11361705.36,30957047.92,2521833.306,4220121.187,6214881.703,5828277.444,1298560.385,4341478.409,2600194.457,4348844.414,5937930.602,6987410.1,6390054.694,5936272.182,4680376.03,8660760.156,4417468.138,4296768.817,5125005.731,4139841.23,3359780.978,4858390.839,2095967.038,3713942.798,2164927.52,4376759.128
Com_8700_pos,2285482.345,8465304.978,6278742.084,1049345.323,1936683.282,4536059.855,2728198.107,3556527.119,3539774.316,4912330.834,5379669.972,5170892.307,1052871.714,1309242.04,3761955.692,4847835.567,33350598.1,35724912.37,16209125.19,31592678.51,35237594.46,28608850.79,55887196.55,25754566.04,15777142.08,11349883.64,11331916.92,13494292.2,11680179.14,14448196.06,14256284.64,9837150.898
Com_8738_pos,225358.603,946643.2087,1260959.391,258148.411,355510.1682,331695.7555,875524.8905,562006.3881,15476435.11,24389596.36,1624115.736,656493.3749,399733.6671,397330.4553,30806539.03,1629697.187,844220.6761,939822.6144,455530.0834,817363.856,407834.5822,1507404.777,2850874.502,297576.6403,3601771.152,2374284.193,5911044.222,7213807.419,2522725.73,5420351.221,1462263.372,4333010.265
Com_8797_pos,1731256.167,3126802.122,4050478.151,1118543.184,1754638.605,1226314.22,9117016.235,3624832.769,7514574.163,5098965.757,1063282.596,2440818.701,2144559.607,2514555.466,7338196.577,6258206.567,22572914.84,9041180.855,13340057.46,63882555.28,14178760.84,9061517.654,3794823.719,20234672.55,8155172.661,4136336.972,6071682.567,12206869.68,11986186.99,3779086.256,48754012.08,20802860.62
Com_8892_pos,1398925.453,892118.3742,4090054.959,11005306.52,842535.0279,806373.1372,1235365.067,2033367.711,1137266.357,1003068.6,1800556.614,1779803.127,1166434.84,1191755.011,5827934.136,1868690.911,13817951.99,15896148.11,8386607.867,6607404.624,16443767.75,12104215.15,7811741.885,5705638.602,2776931.226,3638838.66,1040332.311,3661477.235,3737721.027,495714.6376,3726581.28,1449952.973
Com_8902_pos,10342793.44,3999566.685,4214894.75,8187456.022,7265096.38,7534494.403,8073002.892,49031068.1,3479085.61,2688958.546,3538582.528,6529987.195,12535598.75,12416607.96,918804.9312,5435741.937,1363608.11,1515056.824,2732571.361,1884370.016,1711041.116,1863215.035,810295.6636,1488355.1,700172.9172,720582.6599,567152.1487,650200.0032,447280.2716,329285.4603,1045823.226,598018.2652
Com_8931_pos,12237451.45,71894664.48,14076228.52,21617708.31,16383105.97,17340754.22,5192504.862,33421492.78,4359569.267,3901778.528,10699205.77,21556520.13,31666077.79,19140406.72,9882370.172,20984288.95,5048979.372,5437402.736,8236966.397,5110444.895,6578864.565,7229460.425,3449839.55,5775158.564,5004688.942,4523457.018,3624639.362,5262014.488,3389549.981,4638561.472,4258282.796,2929711.339
Com_9016_pos,1112085.846,2845386.601,2233322.589,7685593.222,2147460.071,2968533.887,6896067.973,2623691.704,5044843.262,2672516.959,11315467.28,5414052.573,3876700.194,3442184.47,11332913.57,7377328.734,2125702.969,2560030.258,7249374.162,3033343.919,2772378.978,3234297.772,1565077.67,2382015.166,1508871.967,1541435.024,2296983.528,1475465.719,791202.6564,1603347.637,1738630.113,2450934.552
Com_9034_pos,25860307.71,13560516.15,16572852.37,12118935.39,14126641.54,24687905.91,73089970.44,48038553.94,9057956.254,23101674.59,12619372.75,21987404.4,3483780.875,11144356.76,3379221.315,39711059.98,8288696.988,10639243.34,10242896.97,5455186.416,9574011.13,3993153.996,29392688.28,17807199.15,20520118.24,8501296.573,16641183.21,33426136.73,12932040.47,15659198.43,24796976.48,16014459.3
Com_9051_pos,29280009.01,23506597.08,2730752.667,17143488.12,1801020.004,2305469.032,5637569.111,27766099.38,2160353.236,1807740.754,2981650.154,6307646.335,18118701.38,21936326.94,2012026.802,24789886.7,14389757.45,5715224.382,12703179.98,20067248.95,13766054.93,16832449.13,8240032.817,13807956.68,6244413.075,1988099.214,3359936.391,4819311.909,3778006.152,3105310.765,4996933.842,1900817.393
Com_9053_pos,469318.0646,5021914.673,8909491.256,931583.6944,599418.3004,1629717.713,998014.2959,2074451.354,17317021.7,28969526.15,8473517.402,2351254.737,807930.0447,744966.094,13798594.17,3904282.927,3980981.879,4451501.112,2839016.004,3189955.648,2088910.309,12366593.74,27065439.85,826884.217,24152817.42,25337056.74,46039472.77,28676335.48,66792031.33,14579322.57,13500133.92,27606656.52
Com_9071_pos,4204984.78,406732.286,334827.5859,420031.4299,335436.1722,442183.4192,111192180.5,470899.5469,292050.2845,387503.9483,496953.3368,580173.7915,535013.1025,343657.2198,270127.0823,713673.386,519159.6719,605461.5457,840363.779,680099.7779,658882.8699,630891.9497,496296.4048,640365.7496,364057.8603,327044.8825,270628.2697,487121.1606,311056.188,325702.8072,400801.4571,237628.307
Com_9119_pos,8544849.363,24693612.47,28013651.54,5418891.543,7864935.704,21862536.45,36924517.46,8589383.814,22725103.01,20177667.74,5557384.829,7639997.284,11129013.06,6504475.83,12542589.23,42248037.53,37253593.6,64759570.19,124846367.2,41024818.98,41525317.13,61300308.23,33868970.19,30481489.47,40233046.27,51155580.41,41002092.5,19208983.14,47711643.75,72102836.01,46253494.73,32865670.59
Com_9137_pos,31350889.62,14416944.92,12147180.47,28245551.45,12993364.09,24015428.33,25373417.34,21229299.22,9819692.743,11214273.52,29450872.31,40281223.63,18202313.8,24451331.27,7011954.773,22112700.78,8408030.38,9103360.39,9192361.996,5148591.507,6488545.989,7402827.461,8873062.893,10647191.1,7885706.983,6006334.516,5945153.227,15396312.86,6289704.786,7452241.228,10622555.67,6466877.454
